keyword, link
My Imperial, https://www.imperial.ac.uk/admin-services/ict/self-service/admin-systems/my-imperial/
Changes to Registration Status, https://www.imperial.ac.uk/student-records-and-data/for-current-students/undergraduate-and-taught-postgraduate/changes-to-registration-status/
Course Change Information for International Students, https://www.imperial.ac.uk/students/international-students/visas-and-immigration/changes-to-course-of-study/
Request Official Documents, https://www.imperial.ac.uk/student-records-and-data/for-current-students/request-an-official-document/
Changing Personal Details, https://www.imperial.ac.uk/student-records-and-data/for-current-students/undergraduate-and-taught-postgraduate/changes-to-personal-details/
Course Withdrawal Procedure, https://www.imperial.ac.uk/media/imperial-college/administration-and-support-services/registry/academic-governance/public/academic-policy/admissions/Procedure-for-leavers-who-withdraw.pdf
Course Enrolment Regulations, https://www.imperial.ac.uk/media/imperial-college/current-students/academic-support/public/Imperial-College---Terms-and-Conditions-2022-23-.pdf
Exam Results Information, https://www.imperial.ac.uk/student-records-and-data/for-current-students/undergraduate-and-taught-postgraduate/exams-assessments-and-regulations/exam-results/
Horizons Enrolment, https://www.imperial.ac.uk/horizons/enrolment/
Student ID, https://www.imperial.ac.uk/estates-facilities/security/id-cards/
Year Abroad Funding, https://www.imperial.ac.uk/students/fees-and-funding/general-support/funding-for-placements/year-abroad/
